sample_id,mission_day,terrain_type,latitude,longitude,distance_to_rover_m,battery_remaining_pct,comm_delay_s,radiation_msv_h,temperature_c,spectral_ice_index,spectral_metal_index,image_confidence,storage_remaining_kg,sample_mass_g,slope_deg,scientific_value_score,priority_label
AST-0022,23,cratera,-0.57312,87.23976,118.55,35.8,4.04,2.671,-78.02,0.115,0.517,0.82,4.28,150.3,11.71,33.51,Media
AST-0023,4,poeira_fina,2.00603,-9.27267,2330.37,41.35,11.04,2.027,-34.93,0.065,0.335,0.671,5.45,113.6,21.71,0.0,Baixa
AST-0024,25,poeira_fina,7.13979,25.46302,136.35,46.11,9.06,1.998,-71.67,0.453,0.14,0.604,3.07,221.1,10.5,12.31,Baixa
AST-0025,11,metalico,16.62606,-66.90424,1764.17,69.46,7.53,1.423,4.98,0.195,0.73,0.785,4.01,198.1,28.07,29.2,Media
AST-0026,17,regolitho,-29.97048,-129.13586,356.87,65.94,3.68,0.958,-46.35,0.52,0.454,0.792,5.91,57.6,14.7,51.85,Alta
AST-0027,5,basalto,1.09812,-83.90389,456.62,81.18,3.95,2.022,-86.28,0.16,0.601,0.584,3.1,219.3,8.97,41.11,Media
AST-0028,12,regolitho,-1.28859,129.48491,1655.61,75.55,8.06,2.067,-68.27,0.639,0.354,0.711,4.94,196.7,14.87,31.67,Media
AST-0029,23,regolitho,29.51795,36.87011,973.4,81.29,8.4,2.345,-80.45,0.726,0.548,0.782,2.79,127.2,11.76,53.85,Alta
AST-0030,9,gelo_suspeito,-0.45454,-43.92408,219.14,72.95,2.11,1.805,-35.6,0.771,0.417,0.751,4.07,140.7,20.39,77.92,Alta
AST-0031,4,gelo_suspeito,-2.21756,104.36615,215.01,65.77,5.95,0.927,-103.89,0.241,0.218,0.754,4.93,221.6,2.83,46.15,Alta
AST-0032,16,poeira_fina,32.354,-156.79532,879.25,81.79,10.69,2.14,-95.55,0.251,0.133,0.92,0.93,36.6,0.0,23.19,Baixa
AST-0033,5,cratera,-3.45965,-88.59921,299.38,78.55,6.24,1.805,-74.56,0.477,0.266,0.99,3.55,169.5,15.79,36.26,Media
AST-0034,10,cratera,-22.33809,-97.16286,1004.26,68.77,10.49,1.789,-38.88,0.486,0.12,0.756,4.9,205.1,25.21,21.86,Baixa
AST-0035,14,basalto,-19.81587,174.73124,1073.49,84.88,8.69,1.374,-23.47,0.249,0.365,0.645,4.62,140.1,13.0,29.57,Media
AST-0036,17,regolitho,-28.33687,74.19549,388.17,19.78,4.39,1.15,-19.34,0.309,0.377,0.764,3.57,180.6,15.71,25.68,Baixa
AST-0037,20,regolitho,-34.96023,42.40294,475.78,56.77,6.2,2.34,-43.17,0.53,0.276,0.811,2.75,150.7,14.68,35.91,Media
AST-0038,21,basalto,-4.7638,-178.20541,898.85,56.5,6.86,0.828,-60.32,0.09,0.736,0.784,5.18,101.9,0.64,42.91,Alta
AST-0039,26,regolitho,18.84698,-113.6484,374.62,82.75,4.67,1.003,-35.75,0.02,0.15,0.857,3.85,100.5,12.97,27.56,Baixa
AST-0040,2,gelo_suspeito,16.34265,48.79487,751.26,90.29,4.9,1.353,-90.05,0.348,0.343,0.99,5.06,184.2,20.22,55.23,Alta
AST-0041,11,cratera,-32.74956,-43.30104,2770.1,35.9,11.79,4.594,-109.65,0.167,0.45,0.602,4.83,110.0,16.8,0.0,Baixa
AST-0042,1,metalico,4.8988,152.74094,928.17,87.4,5.01,2.52,-45.77,0.126,0.466,0.734,3.67,61.1,1.83,47.17,Alta
AST-0043,1,gelo_suspeito,-24.20018,95.30072,535.09,40.91,9.25,0.749,-86.16,0.311,0.669,0.96,5.8,151.7,8.66,52.98,Alta
AST-0044,7,cratera,30.87534,-18.94173,2479.44,41.46,7.31,3.838,-59.83,0.213,0.783,0.733,3.47,116.8,17.32,10.23,Baixa
AST-0045,18,metalico,-23.28445,89.82539,1227.36,57.78,7.32,2.878,-54.65,0.264,0.897,0.877,5.97,79.0,23.57,54.28,Alta
AST-0046,27,metalico,8.86475,171.14556,305.54,56.27,7.95,0.925,-51.05,0.35,0.475,0.859,6.15,148.9,0.0,66.47,Alta
AST-0047,24,cratera,-12.16331,-14.0469,355.47,33.95,5.44,1.129,-31.74,0.243,0.52,0.926,5.77,187.2,20.04,44.59,Alta
AST-0048,20,cratera,9.90929,51.30932,153.24,73.7,7.86,2.337,-34.7,0.323,0.33,0.99,4.05,146.1,5.18,50.05,Alta
AST-0049,24,gelo_suspeito,-6.1419,150.71926,887.75,74.23,2.63,2.599,-52.54,0.35,0.399,0.827,7.87,86.4,14.55,62.26,Alta
AST-0050,6,regolitho,18.17501,-90.47712,96.72,80.97,7.54,3.209,-70.38,0.431,0.841,0.598,4.51,171.5,15.11,55.96,Alta
AST-0051,26,regolitho,-18.85246,139.16085,2477.53,54.2,2.84,1.06,-54.98,0.454,0.331,0.713,4.64,201.9,9.37,24.89,Baixa
AST-0052,27,regolitho,28.40543,-144.88391,583.95,61.29,6.42,3.45,-74.69,0.551,0.587,0.99,4.27,266.7,15.42,52.62,Alta
AST-0053,3,metalico,0.01468,53.44134,1277.23,61.45,9.29,0.575,-63.5,0.258,0.514,0.634,2.72,224.3,18.98,24.88,Baixa
AST-0054,15,gelo_suspeito,17.92652,101.82174,545.51,92.38,8.26,1.329,15.31,1.0,0.488,0.845,6.11,89.7,9.85,94.82,Alta
AST-0055,25,gelo_suspeito,24.48111,41.25824,877.13,12.0,4.27,1.3,-52.9,0.74,0.093,0.513,3.5,192.2,1.64,39.87,Media
AST-0056,15,metalico,34.918,-1.60747,642.46,44.78,4.39,2.634,-45.39,0.41,0.591,0.641,5.59,159.1,20.98,52.17,Alta
AST-0057,26,basalto,-19.3238,42.24496,736.15,62.1,5.51,2.813,-77.75,0.383,0.536,0.888,5.92,81.6,16.8,38.6,Media
AST-0058,29,basalto,-14.91753,-125.40106,1540.82,42.46,8.01,2.409,-29.44,0.321,0.564,0.794,5.14,160.6,14.95,19.36,Baixa
AST-0059,15,regolitho,-17.46968,-102.39454,2028.54,57.35,3.48,0.854,-36.71,0.579,0.21,0.749,3.33,250.5,6.16,22.62,Baixa
AST-0060,2,regolitho,-16.59901,-82.83624,1929.63,59.73,7.85,2.312,-36.51,0.243,0.394,0.7,3.82,210.8,17.9,7.47,Baixa
AST-0061,11,gelo_suspeito,5.77113,35.20056,2800.0,50.16,9.19,1.972,-51.98,0.556,0.504,0.57,0.55,89.3,25.3,19.94,Baixa
AST-0062,7,basalto,34.54658,-20.91561,408.26,63.16,6.17,0.739,-29.04,0.088,0.548,0.866,4.14,145.8,10.15,49.36,Alta
AST-0063,15,basalto,34.31947,-91.9887,936.2,73.31,8.32,0.619,-22.39,0.453,0.433,0.759,5.42,172.0,11.66,43.23,Alta
AST-0064,18,metalico,1.87413,137.81136,415.84,57.75,7.29,2.502,-50.07,0.504,0.809,0.623,3.97,49.9,3.54,70.08,Alta
AST-0065,14,gelo_suspeito,9.7319,-45.38814,1500.21,53.84,6.38,1.446,-61.21,0.833,0.627,0.793,3.47,51.8,5.96,71.72,Alta
AST-0066,6,basalto,25.19794,-19.42858,318.24,59.02,2.47,0.88,-32.95,0.132,0.329,0.854,3.88,153.5,3.48,44.76,Alta
AST-0067,10,basalto,30.30534,-32.50761,1558.13,61.87,7.91,1.428,-83.32,0.313,0.3,0.768,6.0,154.2,11.92,25.43,Baixa
AST-0068,21,cratera,-20.72976,-114.50054,820.8,30.67,4.99,2.413,-78.1,0.622,0.27,0.803,4.22,43.9,11.55,46.35,Alta
AST-0069,1,regolitho,1.99792,83.38573,669.24,70.31,5.71,1.511,-59.49,0.393,0.285,0.794,6.9,166.3,13.61,34.81,Media
AST-0070,7,cratera,23.29859,-18.55503,725.62,53.88,8.07,1.208,-106.76,0.383,0.368,0.712,3.5,204.8,8.44,23.63,Baixa
AST-0071,27,regolitho,-13.77585,-174.14744,271.95,84.71,9.81,3.664,-34.83,0.652,0.266,0.796,4.6,133.0,9.83,44.6,Alta
AST-0072,3,cratera,-4.21337,167.04493,292.33,72.64,6.63,2.916,-84.96,0.246,0.576,0.871,3.69,148.3,4.72,39.86,Media
AST-0073,13,poeira_fina,33.99348,113.6749,831.02,83.06,8.31,1.349,-71.2,0.22,0.666,0.904,7.2,176.4,12.31,47.39,Alta
AST-0074,7,regolitho,33.95327,80.48137,827.11,43.8,3.91,1.373,-63.97,0.529,0.441,0.877,4.55,169.1,0.0,46.15,Alta
AST-0075,4,regolitho,28.42748,132.87307,430.95,55.32,7.35,1.844,-56.9,0.711,0.501,0.716,7.28,53.2,12.06,52.69,Alta
AST-0076,13,cratera,20.89138,146.45061,579.22,39.64,6.78,1.613,-67.62,0.291,0.069,0.86,3.71,95.2,16.91,32.84,Media
AST-0077,16,cratera,-16.16086,-58.50371,990.41,49.31,9.91,2.76,-59.89,0.124,0.452,0.841,6.44,123.2,14.95,21.17,Baixa
AST-0078,6,gelo_suspeito,-12.54049,39.94512,372.98,84.54,5.58,0.862,-59.67,0.848,0.22,0.712,4.47,97.7,0.0,80.73,Alta
AST-0079,3,basalto,3.3098,39.17081,135.64,88.77,6.07,1.519,-70.52,0.18,0.297,0.739,5.47,225.7,15.58,41.45,Media
AST-0080,5,metalico,4.25442,-83.77212,1818.68,41.33,10.13,0.927,-79.65,0.461,0.775,0.865,2.59,179.9,8.91,45.08,Alta
AST-0081,20,gelo_suspeito,0.3852,-100.09719,871.88,53.75,6.92,0.948,-27.72,0.338,0.514,0.941,4.79,84.0,12.52,59.25,Alta
AST-0082,26,cratera,9.56692,-138.99339,493.54,60.63,4.41,4.158,-116.92,0.316,0.395,0.591,2.8,133.2,2.0,30.58,Media
AST-0083,6,metalico,-6.41739,57.35311,414.83,72.54,12.41,1.611,-63.76,0.334,0.75,0.97,4.66,207.2,2.3,60.7,Alta
AST-0084,10,regolitho,17.44219,101.13084,370.01,30.32,4.39,1.722,-71.13,0.657,0.184,0.918,2.17,109.5,8.27,38.67,Media
AST-0085,11,regolitho,-11.65151,93.94307,1496.37,33.15,7.43,0.634,-46.27,0.553,0.615,0.812,4.17,191.8,20.63,27.2,Baixa
AST-0086,11,regolitho,-11.85261,-66.14086,232.87,70.81,7.43,1.199,-98.72,0.237,0.592,0.764,5.83,221.1,14.69,41.07,Media
AST-0087,8,gelo_suspeito,-26.09418,-106.10645,934.56,26.92,7.76,1.93,-71.99,1.0,0.298,0.833,5.07,211.9,11.91,53.6,Alta
AST-0088,2,basalto,-21.79015,-16.6989,934.01,53.96,6.75,1.711,-60.87,0.175,0.296,0.72,2.57,154.9,4.53,24.91,Baixa
AST-0089,16,regolitho,24.53646,16.85285,1186.11,64.92,6.94,0.595,-28.04,0.569,0.468,0.77,1.64,213.8,3.26,38.72,Media
AST-0090,11,basalto,-3.76024,150.87137,530.5,69.48,6.36,1.722,-48.7,0.208,0.361,0.628,5.0,116.3,12.94,30.82,Media
AST-0091,11,regolitho,-19.04925,134.93634,1720.62,59.45,5.27,1.85,-91.14,0.19,0.184,0.598,6.51,281.7,15.9,6.83,Baixa
AST-0092,8,gelo_suspeito,18.15388,149.781,1209.43,55.42,12.09,2.795,-71.65,0.629,0.473,0.99,2.95,158.2,12.46,44.48,Alta
AST-0093,28,cratera,3.77868,126.09446,516.91,77.2,6.39,2.462,-33.19,0.165,0.193,0.797,7.24,208.1,28.21,31.13,Media
AST-0094,19,cratera,-33.51908,167.24923,399.42,67.13,8.1,1.161,-91.62,0.673,0.353,0.812,4.29,125.1,9.44,51.52,Alta
AST-0095,13,cratera,-12.8547,-12.42,643.77,50.35,6.22,1.534,-60.2,0.296,0.119,0.787,1.56,172.5,16.17,18.61,Baixa
AST-0096,7,gelo_suspeito,-22.6099,-162.90954,503.77,62.68,6.08,0.957,-58.26,0.891,0.508,0.699,2.11,174.9,0.0,78.53,Alta
AST-0097,25,cratera,10.9111,-149.91767,348.13,68.9,5.75,3.17,-68.8,0.288,0.356,0.756,5.38,93.9,15.64,34.98,Media
AST-0098,27,regolitho,-15.74783,-39.50059,748.87,92.93,3.63,0.462,17.48,0.471,0.445,0.8,4.48,92.3,21.29,53.19,Alta
AST-0099,1,regolitho,-30.45373,-87.23265,582.08,76.15,6.56,1.282,-69.56,0.396,0.648,0.768,6.38,133.8,3.71,52.51,Alta
AST-0100,28,poeira_fina,-31.15455,-118.82139,1985.39,83.86,7.02,2.979,-45.41,0.298,0.637,0.707,2.62,205.8,16.89,12.05,Baixa
AST-0101,21,poeira_fina,5.72091,163.15336,503.15,51.01,9.44,1.573,-79.46,0.237,0.511,0.843,4.47,44.3,21.09,26.76,Baixa
AST-0102,3,gelo_suspeito,-33.47936,-109.64895,396.51,52.56,4.15,2.347,-43.22,0.437,0.076,0.811,4.31,125.0,6.17,55.96,Alta
AST-0103,23,regolitho,24.41545,165.37654,714.67,57.76,5.74,0.749,-33.62,0.15,0.527,0.833,4.1,217.0,14.27,29.95,Media
AST-0104,4,poeira_fina,-24.1222,93.90198,852.84,59.42,5.13,0.763,-74.46,0.66,0.667,0.868,3.76,77.2,22.06,52.9,Alta
AST-0105,2,metalico,7.45964,50.74044,898.62,43.86,10.32,2.994,-59.53,0.24,0.58,0.771,3.79,214.0,12.61,28.58,Media
AST-0106,4,gelo_suspeito,-3.87184,63.36683,892.59,84.79,5.22,1.641,-83.07,0.447,0.225,0.771,4.54,83.0,16.51,51.19,Alta
AST-0107,14,cratera,-4.00039,-60.66924,732.13,77.9,8.26,2.196,-90.04,0.109,0.338,0.953,4.72,94.6,0.0,40.67,Media
AST-0108,19,cratera,-29.9742,52.71373,694.55,56.5,9.13,1.704,-28.97,0.411,0.274,0.686,4.65,136.9,13.09,31.4,Media
AST-0109,13,regolitho,21.19266,-112.79084,1077.59,73.55,6.95,1.641,-73.51,0.165,0.602,0.584,5.99,248.0,14.62,17.88,Baixa
AST-0110,4,poeira_fina,27.51367,157.57396,322.31,66.01,3.7,0.936,-125.58,0.581,0.176,0.851,2.62,109.8,1.72,53.54,Alta
AST-0111,6,basalto,-34.22883,-71.3544,398.81,74.96,3.78,2.675,-8.57,0.127,0.247,0.721,1.76,49.7,4.25,35.43,Media
AST-0112,26,regolitho,-22.49771,-88.13286,181.71,37.8,8.52,5.352,-80.46,0.457,0.079,0.671,5.72,67.9,15.23,18.66,Baixa
AST-0113,29,cratera,28.27329,76.01861,326.77,59.38,3.96,2.812,-64.9,0.399,0.296,0.887,2.98,196.3,14.73,28.95,Media
AST-0114,23,basalto,3.46455,56.32154,1402.01,60.96,8.36,1.179,-12.05,0.605,0.187,0.774,3.77,70.5,18.78,29.85,Media
AST-0115,4,regolitho,-24.49723,-17.53239,1047.26,73.23,7.5,0.502,-61.97,0.133,0.24,0.651,3.44,210.3,13.18,17.87,Baixa
AST-0116,25,poeira_fina,-20.80467,47.68064,2154.25,50.69,8.87,0.735,-62.57,0.177,0.349,0.99,3.41,148.8,11.4,7.16,Baixa
AST-0117,21,metalico,11.19904,-122.58249,1835.68,17.0,8.85,3.157,-92.39,0.082,1.0,0.613,2.26,143.2,9.81,20.81,Baixa
AST-0118,16,gelo_suspeito,15.73718,62.39819,1053.27,42.53,5.2,0.987,-103.78,0.588,0.434,0.78,3.5,161.4,13.05,58.16,Alta
AST-0119,5,cratera,6.95988,-82.58015,790.98,60.9,4.92,2.104,-62.66,0.08,0.383,0.582,5.21,100.9,21.79,24.18,Baixa
AST-0120,30,basalto,31.72039,-81.77905,724.52,63.15,8.59,2.106,-47.84,0.203,0.409,0.82,4.29,152.6,14.74,31.43,Media
AST-0121,14,basalto,-0.41555,-121.61522,90.07,92.31,5.18,3.056,-49.45,0.352,0.628,0.719,5.01,79.4,8.04,60.87,Alta
AST-0122,2,gelo_suspeito,-13.98097,-60.34423,668.05,72.49,1.0,1.434,-71.48,0.595,0.53,0.88,3.61,219.2,19.68,73.13,Alta
AST-0123,7,regolitho,-1.5937,-60.74962,456.38,63.47,8.25,1.307,-57.43,0.071,0.656,0.788,5.56,88.5,15.6,36.3,Media
AST-0124,13,cratera,-9.82336,-16.49556,339.14,61.42,4.46,2.052,-109.44,0.227,0.264,0.939,3.59,169.1,19.88,32.2,Media
AST-0125,2,regolitho,-19.29089,-111.44898,942.4,81.88,8.2,1.182,-45.12,0.379,0.286,0.743,1.35,88.1,11.64,22.5,Baixa
AST-0126,10,basalto,-31.78257,-110.51729,610.65,51.38,10.0,1.211,-53.48,0.172,0.197,0.614,4.74,115.7,14.5,14.67,Baixa
AST-0127,15,cratera,-10.34513,15.02589,756.52,59.47,7.08,2.611,-2.74,0.263,0.343,0.816,5.37,124.4,7.06,36.96,Media
AST-0128,29,regolitho,14.79865,-133.60413,298.51,42.39,8.9,1.705,-57.79,0.166,0.291,0.762,3.52,309.0,12.69,16.28,Baixa
AST-0129,3,regolitho,-33.70935,68.00292,1243.9,87.54,7.73,4.093,-84.39,0.536,0.489,0.59,5.98,144.2,22.48,36.35,Media
AST-0130,18,basalto,-4.2575,159.82097,501.29,69.06,10.35,1.911,-59.42,0.36,0.189,0.674,3.11,99.8,12.54,24.2,Baixa
AST-0131,28,regolitho,10.08066,-26.35358,908.51,49.26,4.81,2.633,-67.18,0.709,0.394,0.709,5.24,120.5,11.58,44.51,Alta
AST-0132,25,poeira_fina,7.72829,144.39791,534.18,59.94,6.86,0.968,-45.83,0.499,0.371,0.961,6.74,62.2,6.83,47.37,Alta
AST-0133,28,basalto,19.36539,-144.60603,72.05,71.17,8.03,1.986,-57.25,0.172,0.48,0.868,4.35,136.0,14.45,39.34,Media
AST-0134,6,cratera,21.73638,-164.53525,968.47,57.49,6.77,1.882,-93.28,0.162,0.276,0.752,3.98,246.8,20.24,9.77,Baixa
AST-0135,25,basalto,14.81941,79.6928,640.45,52.38,9.49,1.874,-103.8,0.777,0.624,0.842,4.15,163.5,20.17,52.51,Alta
AST-0136,30,regolitho,-27.80416,93.96777,169.62,50.22,5.67,2.138,-50.64,0.308,0.338,0.566,6.58,194.7,4.95,46.99,Alta
AST-0137,10,poeira_fina,-1.74843,123.50097,267.83,68.1,11.24,1.604,-19.27,0.38,0.307,0.728,4.86,95.0,7.83,23.89,Baixa
AST-0138,15,basalto,7.23842,-159.54564,1268.0,55.56,12.07,4.633,-55.78,0.558,0.266,0.834,7.3,133.8,6.79,27.06,Baixa
AST-0139,16,metalico,-17.81038,99.68654,177.94,53.83,7.25,2.982,-35.23,0.625,0.555,0.808,4.69,156.2,23.84,59.75,Alta
AST-0140,15,regolitho,-32.02137,-44.44606,491.24,37.95,8.07,2.664,-29.64,0.24,0.134,0.731,3.38,105.1,9.67,13.4,Baixa
AST-0141,9,basalto,-19.34868,-70.79845,2273.85,63.4,10.75,2.212,-50.53,0.231,0.584,0.786,3.48,167.0,7.16,10.45,Baixa
AST-0142,30,basalto,-3.15739,-117.71139,985.51,58.74,4.59,3.468,-80.81,0.457,0.171,0.827,4.39,178.8,0.0,37.43,Media
AST-0143,29,poeira_fina,-6.02488,178.56567,1154.28,56.21,4.44,0.821,-52.53,0.069,0.109,0.789,1.44,174.9,4.62,5.55,Baixa
AST-0144,12,basalto,-22.63331,-157.08111,572.16,65.58,9.67,2.906,-24.2,0.3,0.4,0.885,3.64,136.7,14.7,22.74,Baixa
AST-0145,25,basalto,22.70909,117.72289,155.19,75.46,7.21,1.004,-43.16,0.303,0.474,0.825,3.67,205.0,14.67,48.19,Alta
AST-0146,12,regolitho,29.79807,50.218,808.3,74.63,6.58,1.217,-37.05,0.463,0.216,0.846,4.64,130.8,6.44,42.09,Media
AST-0147,24,cratera,-20.90562,84.62896,284.68,71.95,6.73,2.329,-70.95,0.28,0.352,0.978,7.02,125.8,12.46,43.51,Alta
AST-0148,18,basalto,30.0701,76.21816,260.94,57.67,1.44,2.732,-63.67,0.352,0.35,0.881,4.38,224.3,24.02,38.86,Media
AST-0149,15,cratera,-33.74973,129.03641,744.14,51.79,6.61,1.478,-61.32,0.342,0.629,0.982,1.61,84.1,33.82,32.72,Media
AST-0150,4,regolitho,29.74737,-113.83485,302.36,43.21,5.06,1.245,-59.44,0.168,0.479,0.716,3.02,51.3,19.05,20.56,Baixa
AST-0151,20,metalico,31.63502,-179.70314,684.46,51.32,9.01,1.639,-25.3,0.222,0.919,0.615,4.67,97.3,21.91,49.34,Alta
AST-0152,10,poeira_fina,-34.15637,35.47026,409.6,62.35,8.98,1.442,-123.72,0.364,0.24,0.775,4.43,166.3,23.4,24.71,Baixa
AST-0153,7,regolitho,18.41135,-52.61089,667.44,47.85,8.25,2.303,-57.14,0.662,0.576,0.765,6.57,215.6,26.5,39.82,Media
AST-0154,6,basalto,32.91411,-135.43656,466.94,63.73,7.7,7.361,-60.23,0.282,0.355,0.951,5.64,108.7,8.89,27.37,Baixa
AST-0155,30,regolitho,28.41316,-112.99005,680.92,44.62,3.69,1.894,-96.4,0.261,0.418,0.666,5.6,244.8,4.85,32.7,Media
AST-0156,4,gelo_suspeito,32.94971,-60.57025,1739.33,32.1,9.04,1.127,-39.19,0.892,0.08,0.781,4.0,146.5,23.83,37.41,Media
AST-0157,24,cratera,3.52265,-154.71599,1171.71,76.75,8.72,1.619,-78.29,0.183,0.423,0.835,5.84,138.6,6.19,28.47,Media
AST-0158,26,gelo_suspeito,-29.52907,-159.51125,627.15,53.46,9.69,1.355,-68.0,0.738,0.173,0.801,3.05,98.3,3.8,56.98,Alta
AST-0159,1,gelo_suspeito,24.48524,149.76945,1564.0,46.93,12.28,1.027,-6.23,0.58,0.134,0.771,5.66,252.3,3.96,28.29,Media
AST-0160,18,metalico,7.96798,-67.64301,917.47,42.31,3.43,1.936,-29.72,0.503,0.626,0.829,3.9,136.7,10.08,62.16,Alta
AST-0161,18,regolitho,8.03157,173.60305,1494.98,69.61,6.71,1.922,-41.91,0.195,0.148,0.909,2.27,71.7,0.0,12.22,Baixa
AST-0162,11,poeira_fina,-5.79225,167.17212,197.63,86.75,5.01,1.273,-47.34,0.267,0.415,0.959,5.13,280.2,0.97,43.32,Alta
AST-0163,21,regolitho,5.02894,-128.67434,305.37,54.74,7.1,3.831,-62.61,0.591,0.574,0.794,6.26,166.7,6.64,50.53,Alta
AST-0164,13,regolitho,-24.24942,77.37275,801.67,58.12,7.1,1.126,-2.02,0.64,0.677,0.7,3.73,188.9,2.63,53.33,Alta
AST-0165,14,basalto,16.7839,36.28976,615.78,81.29,6.42,1.486,-35.54,0.154,0.238,0.959,6.49,237.5,18.44,32.58,Media
AST-0166,13,cratera,-29.74879,68.63295,682.09,29.41,9.25,2.729,-78.99,0.386,0.235,0.671,1.98,178.8,16.14,9.4,Baixa
AST-0167,25,metalico,16.08465,-145.37124,1020.84,97.4,4.81,2.343,-97.2,0.769,0.402,0.987,2.62,198.6,15.04,69.54,Alta
AST-0168,19,metalico,24.42849,-112.11837,807.32,100.0,4.79,2.787,-42.13,0.629,0.834,0.938,4.09,148.0,14.27,82.64,Alta
AST-0169,12,cratera,-1.92719,-152.41008,1246.87,13.29,5.14,2.499,-59.56,0.417,0.344,0.954,3.78,185.4,17.91,27.95,Baixa
AST-0170,28,poeira_fina,0.68813,37.48831,1224.47,60.24,6.58,2.517,-98.01,0.304,0.629,0.865,3.37,143.1,17.92,27.4,Baixa
AST-0171,25,cratera,-13.145,175.17279,317.79,49.06,4.02,1.999,-46.0,0.339,0.409,0.558,4.49,143.9,19.03,35.25,Media
AST-0172,28,basalto,32.8621,61.91443,75.27,57.23,6.45,2.371,-65.53,0.044,0.172,0.676,3.56,151.6,8.77,13.57,Baixa
AST-0173,22,regolitho,16.31871,75.87415,300.55,54.47,6.35,2.356,-43.14,0.147,0.777,0.824,3.8,123.2,0.0,36.66,Media
AST-0174,12,poeira_fina,-9.1708,174.45061,284.03,76.61,4.97,3.098,-45.63,0.52,0.651,0.716,4.69,172.7,14.64,52.94,Alta
AST-0175,24,regolitho,-22.76348,64.08416,719.42,59.97,8.94,0.74,-75.03,0.216,0.611,0.755,3.37,172.6,2.17,36.66,Media
AST-0176,10,regolitho,-19.62943,-165.53463,712.84,45.6,6.88,1.043,-40.28,0.256,0.692,0.857,4.15,190.0,13.66,31.54,Media
AST-0177,9,cratera,-2.52544,132.12202,588.72,58.9,9.26,3.135,-71.94,0.19,0.153,0.771,3.4,180.2,18.17,13.28,Baixa
